"Number of Leistungen";Wettkampfname;Ort;Datum;ID
40;"Schnällscht Bödeler";Interlaken;2017-05-06;2112
76;"UBS Kids Cup";Interlaken;2017-05-27;2113
18;"Schnällschte Oberländer";Thun;2017-06-03;2118
47;"Kantonale Meisterschaften";Thun;2017-06-10;2119
73;"SVM Nachwuchs";Bern;2017-06-18;2122
3;"Regionale Meisterschaften";Bern;2017-06-24;2127
8;"Regionale Meisterschaften";Bern;2017-06-25;2128
68;"UBS Kids Cup";Interlaken;2017-06-28;2130
8;"UBS Kids Cup";Thun;2017-07-01;2132
8;"Kantonalfinal Swiss Athletic Sprint";Kirchberg;2017-07-02;2131
