"Number of Leistungen";Wettkampfname;Ort;Datum;ID
2;"Schnällscht Bödeler";Interlaken;2017-05-06;2112
3;"Hürden und Sprintmeeting";Basel;2017-05-20;2114
89;"LMM Vorrunde";Interlaken;2017-05-26;2115
3;Nachwuchsmeeting;Bern;2017-05-28;2116
1;Pfingstmeeting;Zofingen;2017-06-03;2117
6;"Kantonale Meisterschaften";Thun;2017-06-10;2119
1;"Meeting International";Genf;2017-06-10;2129
27;"Turnfest Einzel";Reichenbach;2017-06-16;2120
24;"Turnfest Sektion";Reichenbach;2017-06-17;2121
4;Abendmeeting;Thun;2017-06-21;2123
5;"Regionale Meisterschaften";Bern;2017-06-24;2127
2;"Regionale Meisterschaften";Bern;2017-06-25;2128
