Number of Leistungen;Wettkampfname;Ort;Datum;ID
4;UBS Kids Cup;Tenero;19.04.2017;2111
118;Schnällscht Bödeler;Interlaken;06.05.2017;2112
3;Hürden und Sprintmeeting;Basel;20.05.2017;2114
155;LMM Vorrunde;Interlaken;26.05.2017;2115
204;UBS Kids Cup;Interlaken;27.05.2017;2113
3;Nachwuchsmeeting;Bern;28.05.2017;2116
51;Schnällschte Oberländer;Thun;03.06.2017;2118
1;Pfingstmeeting;Zofingen;03.06.2017;2117
97;Kantonale Meisterschaften;Thun;10.06.2017;2119
1;Meeting International;Genf;10.06.2017;2129
27;Turnfest Einzel;Reichenbach;16.06.2017;2120
24;Turnfest Sektion;Reichenbach;17.06.2017;2121
138;SVM Nachwuchs;Bern;18.06.2017;2122
13;Abendmeeting;Thun;21.06.2017;2123
12;Regionale Meisterschaften;Bern;24.06.2017;2127
10;Regionale Meisterschaften;Bern;25.06.2017;2128
180;UBS Kids Cup;Interlaken;28.06.2017;2130
16;UBS Kids Cup;Thun;01.07.2017;2132
21;Kantonalfinal Swiss Athletic Sprint;Kirchberg;02.07.2017;2131
