300 m Hürden 84.0
42.27;4r1;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
400 m Hürden 84.0
59.83;6r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
61.24;4h1;None;07.09.2019;Düdingen;SM U16/U18; 
Hoch
1.8;12;None;01.06.2019;Lausanne;SVM NLA/CSI LNA;Limite erfüllt
1.77;2;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
1.75;1;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
1.75;2;None;17.08.2019;Langenthal;Nachwuchs SVM; 
1.75;9;None;08.09.2019;Düdingen;SM U16/U18; 
1.7;10;None;04.07.2019;Sion;SVM Junior Liga; 
