Weit
5.67;7;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
Drei
13.35;1;None;08.06.2019;Zofingen;44. Pfingstmeeting;Limite erfüllt
13.34;1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting;Limite erfüllt
13.32;2;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
13.05;1;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
Kugel 6.00 kg
12.7;4;None;04.07.2019;Sion;SVM Junior Liga; 
Kugel 5.00 kg
15.32;2;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
14.48;2;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
Diskus 1.75 kg
31.92;8;None;04.07.2019;Sion;SVM Junior Liga; 
Diskus 1.50 kg
39.2;1;None;02.07.2019;Olten;Abendmeeting;Limite erfüllt
34.95;17;None;07.09.2019;Düdingen;SM U16/U18; 
Speer 700 gr
60.15;1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting;Limite erfüllt
59.12;1;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
55.58;2;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
53.84;1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
51.47;2;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting;Limite erfüllt
