Kugel 6.00 kg
11.69;7;None;04.07.2019;Sion;SVM Junior Liga; 
11.63;4;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
Diskus 1.75 kg
34.34;4;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
33.42;4;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
32.96;6r1;None;18.08.2019;Leichtathletikstadion Deutweg, Winterthur;Winterthurer Sommermeeting; 
31.64;2;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
Speer 800 gr
45.42;2;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
45.34;4;None;26.05.2019;Bern;Nationales Nachwuchsmeeting;Limite erfüllt
44.51;18;None;07.09.2019;Winterthur;SM U20/U23; 
44.32;3;None;04.07.2019;Sion;SVM Junior Liga; 
