Kugel 4.00 kg
10.37;4;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
Speer 600 gr
40.23;2;None;26.05.2019;Bern;Nationales Nachwuchsmeeting;Limite erfüllt
39.14;2r1;None;29.06.2019;Nottwil;Bonus-Track Meeting;Limite erfüllt
38.74;5;None;07.09.2019;Winterthur;SM U20/U23;Limite erfüllt
36.6;2;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
36.38;5;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB;Limite erfüllt
36.38;7;None;08.06.2019;Zofingen;44. Pfingstmeeting;Limite erfüllt
35.45;15;None;24.08.2019;Basel;SM Aktive; 
35.38;2;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
34.71;2;None;06.08.2019;Olten;Abendmeeting; 
34.42;4;None;04.07.2019;Sion;SVM Junior Liga; 
