Disziplin;U14M;U16M;U16M;U18M;U18M;U20M;Kader
Jahrgang;2006;2005;2004;2003;2002;2001; 
60 m;8.2;;;;;;Sprint
80 m;;9.9;9.6;;;;Sprint
100 m;;11.6;11.4;11.6;11.4;11.2;Sprint
200 m;;;;23.5;23.3;22.9;Sprint
400 m;;;;52.5;51.8;51;Sprint
60 m Hü 76.2 U14 W Outdoor;;;;;;;Hürden
80 m Hürden 76.2;13;;;;;;Hürden
100 m Hürden 76.2;;;;;;;Hürden
100 m Hürden 84.0;;15;14.7;;;;Hürden
110 m Hürden 91.4;;;;15.6;15;;Hürden
110 m Hürden 99.1;;;;;;15.5;Hürden
300 m Hürden 76.2;;;;;41;;Hürden
400 m Hürden 76.2;;;;;;;Hürden
400 m Hürden 84.0;;;;;;60;Hürden
400 m Hürden 91.4;;;;;;60;Hürden
600 m;1:41.00;1:36.00;1:32.00;;;;Lauf
800 m;;;;2:07.00;2:05.00;2:02.00;Lauf
1000 m;3:00.00;2:55.00;2:50.00;;;;Lauf
1500 m;;;;4:30.00;4:25.00;4:15.00;Lauf
2000 m;;6:30.00;6:25.00;;;;Lauf
3000 m;;;;9:55.00;9:50.00;9:40.00;Lauf
Hoch;1.55;1.65;1.7;1.75;1.8;1.85;Sprung
Weit;;5.7;6;6.3;6.6;6.9;Sprung
Weit Zone;5.4;;;;;;Sprung
Stab;2.6;2.8;3.2;3.5;3.8;4;Sprung
Drei;11.1;11.4;11.7;12;12.3;12.6;Sprung
Kugel 3.00 kg;11.2;;;;;;Wurf
Kugel 4.00 kg;;12.2;12.5;;;;Wurf
Kugel 5.00 kg;;;;12.5;13;;Wurf
Kugel 6.00 kg;;;;;;12.8;Wurf
Diskus 0.75 kg;;;;;;;Wurf
Diskus 1.00 kg;;34;36;;;;Wurf
Diskus 1.50 kg;;;;36;38;;Wurf
Diskus 1.75 kg;;;;;;36;Wurf
Speer 400 gr;38;;;;;;Wurf
Speer 500 gr;;;;;;;Wurf
Speer 600 gr;;39;43;;;;Wurf
Speer 700 gr;;;;44;47;;Wurf
Speer 800 gr;;;;;;45;Wurf
UBS Kids Cup;1850;2200;;;;;Mehrkampf
