Disziplin;U14W;U16W;U16W;U18W;U18W;U20W;Kader
Jahrgang;2006;2005;2004;2003;2002;2001; 
60 m;8.3;;;;;;Sprint
80 m;;10.6;10.45;;;;Sprint
100 m;;;;12.7;12.5;12.4;Sprint
200 m;;;;26.6;26.2;26;Sprint
400 m;;;;62;61;60;Sprint
60 m Hü 76.2 U14 W Outdoor;10;;;;;;Hürden
80 m Hürden 76.2;;12.8;12.6;;;;Hürden
100 m Hürden 76.2;;;;15.5;15;15;Hürden
100 m Hürden 84.0;;;;;;15;Hürden
110 m Hürden 91.4;;;;;;;Hürden
110 m Hürden 99.1;;;;;;;Hürden
300 m Hürden 76.2;;;;;47;;Hürden
400 m Hürden 76.2;;;;;;68;Hürden
400 m Hürden 84.0;;;;;;;Hürden
400 m Hürden 91.4;;;;;;;Hürden
600 m;1:48.00;1:44.00;1:44.00;;;;Lauf
800 m;;;;2:30.00;2:25.00;2:20.00;Lauf
1000 m;3:15.00;3:11.00;3:07.00;;;;Lauf
1500 m;;;;5:25.00;5:20.00;5:10.00;Lauf
2000 m;;7:25.00;7:20.00;;;;Lauf
3000 m;;;;11:35.00;11:25.00;11:15.00;Lauf
Hoch;1.5;1.55;1.55;1.6;1.6;1.65;Sprung
Weit;;5.1;5.2;5.3;5.4;5.5;Sprung
Weit Zone;5;;;;;;Sprung
Stab;2.4;2.5;2.7;2.8;3.1;3.4;Sprung
Drei;9.8;10;10.2;10.4;10.6;10.8;Sprung
Kugel 3.00 kg;9.8;10.6;10.8;11.2;11.6;;Wurf
Kugel 4.00 kg;;;;;;11;Wurf
Kugel 5.00 kg;;;;;;;Wurf
Kugel 6.00 kg;;;;;;;Wurf
Diskus 0.75 kg;;25;28;;;;Wurf
Diskus 1.00 kg;;;;28;30;33;Wurf
Diskus 1.50 kg;;;;;;;Wurf
Diskus 1.75 kg;;;;;;;Wurf
Speer 400 gr;32;34;37;;;;Wurf
Speer 500 gr;;;;36;38;;Wurf
Speer 600 gr;;;;;;36;Wurf
Speer 700 gr;;;;;;;Wurf
Speer 800 gr;;;;;;;Wurf
UBS Kids Cup;1980;2200;;;;;Mehrkampf
