athleteName;swissAthleticsDBId; 
Xavier Fischer;CONTACT.WEB.152121; 
Lukas von Bergen;4sgua-2an8zc-hsxoxs67-1-htpi7bmd-52ed; 
Andy Jossi;CONTACT.WEB.152124; 
Marc Hausheer;CONTACT.WEB.150372; 
Matteo Lüthi;CONTACT.WEB.148201; 
Manuel Hiltbrunner;CONTACT.WEB.152123; 
Jan Hausheer;CONTACT.WEB.153132; 
Hannes Otth;CONTACT.WEB.153137; 
Nils Michel;a21aa-51wqrh-jg9njzak-1-jgt06qub-4s35; 
Dario Lauener;a21aa-ykp7tt-jugbdsd0-1-jvjjsht9-6o31; 
Matteo Brandt;a21aa-ykp7tt-jugbdsd0-1-jvjjojc6-6o1w; 
Jan Richert;a21aa-ykp7tt-jugbdsd0-1-jvjk2m1v-6o50; 
Jonas Schlatter;CONTACT.WEB.152126; 
Morris Mathys;a21aa-ykp7tt-jugbdsd0-1-jvjjutln-6o35; 
Nik Steuri;a21aa-ykp7tt-jugbdsd0-1-jvjkalvr-6o6s; 
Silvan Schlatter;CONTACT.WEB.157490; 
Dominic Hurni;CONTACT.WEB.157486; 
Jan Egger;CONTACT.WEB.155768; 
Dominic Steiner;CONTACT.WEB.157625; 
Andreas Ruchti;a21aa-ykp7tt-jugbdsd0-1-jvjk5crv-6o5w; 
Jari Abegglen;CONTACT.WEB.157497; 
Tim Egger;CONTACT.WEB.158746; 
Anthony Porqueddu;CONTACT.WEB.157489; 
Matti Vögeli;a21aa-ykp7tt-jugbdsd0-1-jvjkcvkx-6o74; 
Ned O'Brien;a21aa-ykp7tt-jugbdsd0-1-jvjjx7m4-6o39; 
Gregor Otth;a21aa-ykp7tt-jugbdsd0-1-jvjjzoqr-6o3z; 
Nicolas von Bergen;CONTACT.WEB.144039; 
Julian Zaugg;4sgua-2an8zc-hsxoxs67-1-htpi98gj-52ej; 
Timo Fahrenbruch;CONTACT.WEB.147153; 
Cedric Stiefvater;CONTACT.WEB.152127; 
Lukas Sieber;akb20-1ms3g5-esaosd8f-1-esc55wtt-3fl; 
TV Unterseen U14 1;akb20-7la2me-f2j0m1la-1-f2rxxv1h-63j; 
TV Unterseen U12 1;akb20-bozb4p-eqvx5qug-1-ermf7ypl-7uk; 
TV Unterseen U18 1;a21aa-ogaf4d-jy7njhbg-1-jz9pl00n-45s1; 
