athleteName;swissAthleticsDBId
Lina Esposito;a21aa-ykp7tt-jugbdsd0-1-jvjkhtax-6o7v
Flavia Reist;a21aa-51wqrh-jg9njzak-1-jgt0i5g8-4s70
Alina Marti;a21aa-ykp7tt-jugbdsd0-1-jvjkkgty-6o8l
Flurina Schneider;a21aa-ykp7tt-jugbdsd0-1-jvjkvshk-6oci
Alisha Beglinger;a21aa-ykp7tt-jugbdsd0-1-jvjkfp4h-6o7i
Nina Nufer;a21aa-ykp7tt-jugbdsd0-1-jvjkqjd9-6oa7
Alisa Michel;a21aa-ykp7tt-jugbdsd0-1-jvjkodzg-6o9v
Ann Céline Josi;a21aa-ogaf4d-jy7njhbg-1-jz5a0u9y-3cuc
Elena Zingg;a21aa-ykp7tt-jugbdsd0-1-jvjl0dcn-6oe7
Nora Abegglen;CONTACT.WEB.155847
Leonie Steiner;a21aa-ykp7tt-jugbdsd0-1-jvjkxtrj-6od6
Lia Wittwer;a21aa-51wqrh-jg9njzak-1-jgt0mle9-4s8m
Kim Röthlisberger;a21aa-ykp7tt-jugbdsd0-1-jvjktkh2-6obs
TV Unterseen U12 1;akb20-bozb4p-eqvx5qug-1-ermf7znv-7um
