athleteName;swissAthleticsDBId; 
Nicolas von Bergen;CONTACT.WEB.144039; 
Xavier Fischer;CONTACT.WEB.152121; 
Julian Zaugg;4sgua-2an8zc-hsxoxs67-1-htpi98gj-52ej; 
Timo Fahrenbruch;CONTACT.WEB.147153; 
Lukas von Bergen;4sgua-2an8zc-hsxoxs67-1-htpi7bmd-52ed; 
Cedric Stiefvater;CONTACT.WEB.152127; 
Marc Hausheer;CONTACT.WEB.150372; 
Matteo Lüthi;CONTACT.WEB.148201; 
Manuel Hiltbrunner;CONTACT.WEB.152123; 
Jonas Schlatter;CONTACT.WEB.152126; 
Andy Jossi;CONTACT.WEB.152124; 
TV Unterseen U18M;a21aa-ogaf4d-jy7njhbg-1-jz9pl00n-45s1; 
Silvan Schlatter;CONTACT.WEB.157490; 
Jari Abegglen;CONTACT.WEB.157497; 
Ned O'Brien;a21aa-ykp7tt-jugbdsd0-1-jvjjx7m4-6o39; 
Matteo Brandt;a21aa-ykp7tt-jugbdsd0-1-jvjjojc6-6o1w; 
Nils Michel;a21aa-51wqrh-jg9njzak-1-jgt06qub-4s35; 
Hannes Otth;CONTACT.WEB.153137; 
Jan Hausheer;CONTACT.WEB.153132; 
Dominic Hurni;CONTACT.WEB.157486; 
